,words,0,1,2,3,4,5,6,7,8,9
95,burn,0.05678096771043188,0.12635201705930113,0.46994133200072,0.36569164149150873,-1.124045289361131,-0.09681341049973707,-0.0675820898642204,-0.6377320046358086,-1.1053535964091719,0.07491390573964847
96,busi,0.4026913891640941,-0.07857514005119806,2.4304639770524457,3.691738374210347,2.3221692861068517,0.258182195477404,1.8411230193576278,1.8020222391032275,-0.25481300269574136,0.8246306593770785
97,butt,0.4754367145802051,-0.05140942470430253,1.1773369596129637,-0.6085951641786858,0.31085642371304334,-0.6007640900943485,-0.005133516900618178,-0.02280145713643721,-0.7381460609195494,-0.9048674677423425
98,buy,0.17121413419400783,0.04961554720755728,0.49043615887617503,-0.3795725261193896,0.09275191621708469,-0.46201201966774413,0.08604150804038097,-0.15955710417974328,0.6617594914144357,0.6779835319781248
99,buzz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,bypass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,can,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,captain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,carbon,0.16136478151359143,0.03981179421729373,0.42189581177050434,-0.2694180193453502,0.0693565919683956,-0.3891796215593725,0.007330015507540643,-0.13226816428580115,0.46076116702869097,0.4805968208113417
105,care,3.276800764471931,-3.2012214376132904,-1.4530982463958468,0.4923554576552247,-0.1696021448752744,-0.6011842687636454,-0.6608247549505912,0.1708561674136046,-0.06138842475625995,0.1474306308950087
106,case,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,catastroph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,caus,0.7264952754260883,-0.104870871517192,2.797038199286851,0.12805625262930445,-0.9625411278329628,-0.2976162121602763,0.13087217797393877,4.252670399640942,-0.5340003534528295,-1.3591288759861473
109,causat,-0.0805692309358808,0.018132317785324203,-0.04005375749476031,0.04636082856575651,-0.052574366869889665,0.17025243511574562,0.12087505583291994,-0.19233646109100336,0.4146341257204769,0.2983347922704443
110,celebr,0.16136478151359143,0.03981179421729373,0.42189581177050434,-0.2694180193453502,0.0693565919683956,-0.3891796215593725,0.007330015507540643,-0.13226816428580115,0.46076116702869097,0.4805968208113417
111,censu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,cent,0.38680843829714295,-0.06833601986595982,0.8383786029431488,-0.5232647515145689,0.26589910874700634,-0.4118808720155162,-0.025426225641159185,0.025092214702649218,-0.7878643385324273,-1.0418528902945934
113,chaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,chain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,chang,1.616753656826046,-0.024863866793627544,4.0016466960280175,-4.53971867536184,1.560143046426787,-2.3295877035434445,-0.4381282459350465,-0.8160257875721453,2.403432419562109,-0.6166131917981202
116,check,0.6068843565850414,0.31093952596498986,0.6982592960737902,-0.5763493781340325,-0.013931664082558972,0.3701794192869873,-0.40505908194999934,-0.6785970255018468,0.2200921306055854,0.8820800629194021
117,cheer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,cheonsaltan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,children,0.4179814368770203,0.014091097345199869,1.761999840515524,2.355193619972919,-4.0511779902916025,0.43799447749742987,-2.296294463890315,-2.450548686698818,1.1712800604882392,0.08686978566344924
120,chose,0.07589882495986773,0.020941234177662343,0.15752447817061238,0.04975772490286105,0.38809517490770856,-0.25905959784551347,-0.12428538219698776,0.11227296628920251,-0.40803082488775516,-0.885076310244059
121,claim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,clarkemicah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
